dataset,method,avg_distance,avg_embeddedness,hub_dominanceCA-AstroPh,kmeans,2.333726208103764,0.7312445691656818,0.4929944580301577
CA-AstroPh,louvain,1.3173545535407798,0.9797923564958423,0.9213607172858654
CA-AstroPh,lpa,1.157245694756639,0.7519776492816667,0.9722431110469991
CA-GrQc,kmeans,1.8924255760878363,0.8875645171655839,0.6974836043262541
CA-GrQc,louvain,1.3665568433118274,0.9938667924189165,0.9361713805100265
CA-GrQc,lpa,1.2756822147571563,0.805265810398095,0.9530149236099178
CA-HepPh,kmeans,2.427061959239958,0.8069130962115221,0.5303130967572856
CA-HepPh,louvain,1.2997551181397762,0.9846206504386883,0.9377553948300615
CA-HepPh,lpa,1.23845495009883,0.7401934167683891,0.9557004146556435
CA-HepTh,kmeans,2.3873063738749467,0.8451024702033352,0.535343793180947
CA-HepTh,louvain,1.4362416770029387,0.989202770254318,0.918699200472909
CA-HepTh,lpa,1.3388283232647074,0.7580856358799908,0.9326666399649208
